Tweet,HS,HS_Weak,HS_Moderate,HS_Strong
Saat itu di sekolah guru semua jenis eh jangan bercinta sekarang di uni lagi tampan tampan yang Anda lihat sekarang,1,1,0,0
dih mukanya,1,1,0,0
paling gk bissaa soal tapir????,1,1,0,0
paling ga bisa soal Buzz Lightyear??????,1,1,0,0
mbak diet dong,1,1,0,0
malu2in sihh ????,1,1,0,0
Jealorely,1,1,0,0
Terlalu halaman,1,1,0,0
"Ya Tuhan, Tuhanku, kamu melindungi kedua orang tuaku ketika aku menjauh dari mereka",1,1,0,0
Her miss kan taman safari jauh yo di pasuruan Aku males nganterno Andrew kesana Kalo taman safarinya tak undang ke ru,1,1,0,0
Aku aja capek sama diriku sendiri apalagi kamu Maaf ya ',1,1,0,0
komuk suaminya ajir lah??,1,1,0,0
Si Tasyi Pikmi,1,1,0,0
suaranya dibuat2 bgt lol,1,1,0,0
@chaiza: Yang terbaik dari yang terbaik,1,1,0,0
Manyun gak bikin lu ganteng,1,1,0,0
MANUSIA RED FLAG!,1,1,0,0
mangap mangap aja sop,1,1,0,0
yg dibahas ini lagiii ini lg ga bosen cok,1,1,0,0
Mengejutkan wajahnya,1,1,0,0
paling gak bisa klo soal cicak kesetrum,1,1,0,0
jiir geli bgt liatnya,1,1,0,0
tompelnya ko di ttpin mlu si,1,1,0,0
@Miji: Paling ga bisa soal kutu air??,1,1,0,0
pasangan norakkk,1,0,1,0
tas chanell KW tuh xixixixiixixixix,1,1,0,0
paling ga bisa kalo liat babi,1,0,0,1
Takut mata -yang menyatu ? Takut hidung ?,1,1,0,0
Saya benci pertanyaan tentang alan dengan amelia dh la tidak ada uang untuk meminjam danau cb tul pasta saya harus mendapatkan saya,1,1,0,0
@Zonatoko: Miss Nrocos Tasyi,1,1,0,0
ibnu sok tau????,1,1,0,0
bukti nyata NPD yang bisa diliat seluruh warga indonesiaaa ????,1,1,0,0
makin hari makin menjadi jadi logo Arsenal yang satu ini,1,1,0,0
banyak gaya luh rumah sepetak aja ????,1,1,0,0
"jan deket""tuh jigong bau nya kek ta*",1,0,1,0
"bang gw saranin lu pindah mars aja, malu2 in negara",1,1,0,0
dasar gilaaa,1,0,0,1
KU KIRA MUKA TERNYATA AMPELA,1,1,0,0
Pikmi anjirrr,1,0,0,1
mau mkn jdi kgk ada nafsu,1,1,0,0
7 00 p m itu pagi apa malam ya Pagiudah pernah coba trik pancing memancing kayak gitu B,1,1,0,0
SGT red flag dan harus dijauhi,1,1,0,0
minimal kalo cowo u jelek liat dompetnya mba.. ini udh burik trs miskin awokwokw,1,0,1,0
pen nampollll,1,1,0,0
orang NORAK tuh.. dr awal gw ga pernah follow nih org,1,0,1,0
janda pirang? janda gendats kali??,1,1,0,0
Waw beliin buat aku dong,1,1,0,0
gemuk ai sia,1,1,0,0
bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,1,1,0,0
mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu KESEL BANGET DEH WHERES THE JUSTICE THO aku jadi kayak be,1,1,0,0
ni org mirip muka muka kriminal,1,1,0,0
Hidup ini adalah pilihan yang harus kamu pilih,1,1,0,0
mba behelnya yang kw yah,1,1,0,0
ga kuat sama suaranya,1,1,0,0
ini wednesday versi rabu pahing??,1,1,0,0
kakak gendutan ya,1,0,1,0
Jngn Manyun,1,1,0,0
"24 8 18 Ulang Tahun Saudaraku, dia memintaku untuk makan aku minus karena dia lambat untuk kembali ke Ot 26 8 18 dia bertanya",1,1,0,0
suaranya sangat sangat menusuk gendang telingaa,1,1,0,0
sopy selalu buat gue merinding ??,1,1,0,0
apa ini,1,1,0,0
12 y o niece Bang long dekat U belajar apa Me Islamic accounting 12 y o niece Ohh kira tasbih laa ni Hahahahahan,1,1,0,0
Saya ingin menanyakan apa yang Anda rasakan ketika Anda menyimpan uang di dana dan kemudian makan uang itu,1,1,0,0
bro mandi bro,1,1,0,0
behel murahan,1,1,0,0
terakhir mandi kapan bang?,1,1,0,0
Saya sangat ingin makan banyak orang ingin bahagia2,1,1,0,0
Itam Bangett Muka Lu,1,1,0,0
@ASAHAB_KILAB: Peelr,1,1,0,0
Kamu ga laku laku unn,1,1,0,0
yukk hesteg#hujatjeje#,1,1,0,0
buset itu bibirnye jontor,1,1,0,0
orang modelan gini beban negara,1,1,0,0
mandi minimal,1,1,0,0
maksudnya nyoret2 apaan dah sok berilmu,1,1,0,0
iya dah yg lain cupu lu doang yg si paling bandel,1,0,1,0
Brother Bald meminta kotorannya,1,1,0,0
kok mirip opet,1,1,0,0
baru sadar mukanya.. wkwkw,1,1,0,0
Cooooookkkkkkkk jiji kelelawar sesuatu nah terbuka malem2 godaan2,1,1,0,0
SBNR adalah aksi kue Anda ?????,1,1,0,0
pas wink merinding ??,1,1,0,0
stop munculin ni org gw gedek tai,1,0,1,0
Tidak ada perilaku pada guru yang hebat,1,1,0,0
Jelas dicintai wkwk,1,0,1,0
bacot,1,0,0,1
kok mirip yg robot di film toy story,1,1,0,0
bacot sia,1,0,0,1
Komitmen Esscontinent Hilstream Bersama Tetapi Bukan Upaya Untuk Menikah dengan Baik Meninggalkan Buang -buang Waktu,1,1,0,0
jatohnya norak kak beli barang branded tapi kaya murahan,1,0,1,0
kok jadi gitu cokk mata nya,1,1,0,0
gembrot ih diet napa diet,1,0,0,1
cowo ko pake crop top dunia makin aneh,1,1,0,0
mbak mbak.. cantik sih tp bulunya lebat kek cowo??,1,1,0,0
dia pikir dia paling cantik padahal hanyalah ampas,1,0,1,0
Kampseupay Loe,1,1,0,0
gigi kuning mata kuning ?? mabok tai ni org,1,0,1,0
pasang behel mba jd ga jigongan...,1,1,0,0
Lucu,1,1,0,0
senyum logo arsenal berkah,1,1,0,0
siapa yang cita' nya mau ngebacok bayu?,1,0,0,1
paansi martabak kacang,1,1,0,0
masnya butuh pengakuan kalo dia kaya ??,1,1,0,0
Ko Cave dari Kingki Dia Ngmpng ????,1,1,0,0
si duta klarifikasi lewat ??,1,1,0,0
Saya baru saja mengubah ban depan myvi sepasang RM 450 per malam,1,1,0,0
Un,1,1,0,0
minimal ga jerawatan dek,1,1,0,0
udah botak kotak lagi MAAP YA INI MAH MAAPPPPPP,1,1,0,0
ngeliat mukanya keinget setan momo yg dulu viral,1,0,1,0
si anj punya otak kg dipake wkwk,1,0,1,0
Amen Ustazah Saya sakit kepala untuk Anda menuliskan apa yang Anda terlambat ketika saya memberi tahu Anda untuk mengirim buku,1,1,0,0
minimal sikat dulu tuh JIGONG ????,1,1,0,0
Eh sudah terlambat untuk melarang Kempes,1,1,0,0
PALING GABISA SOAL KOLIBRI??,1,1,0,0
mereka definisi beauty and the beast,1,1,0,0
Lesti malu maluin,1,1,0,0
"Saya bukan siswa yang cerdas dan pintar di dekat Anda, tetapi saya pikir 7 keterampilan bertahan hidup penting bagi Anda untuk menghadapi dunia",1,1,0,0
ih korengan..,1,1,0,0
Kue Koncol,1,1,0,0
Anjirr ??,1,0,0,1
cakep bgt sampe mules liat muka mba nya,1,1,0,0
muka lu kayak keset welcome bang,1,1,0,0
anak baru bandel gini nih.. NORAK,1,0,1,0
Aku ngatau nih bang Definisi berhasil apa nga,1,1,0,0
Sedikit dari kakgendutin jelas merupakan cantekkk,1,0,1,0
agak norak kyknya baru pertama kali ke jepang wkwk,1,0,1,0
Canti aih si kaka tetapi tidak memiliki Bothis???,1,1,0,0
permukaan kasar di bagian kasar,1,1,0,0
Diem Lu Boti,1,1,0,0
ko k cantik an ygdulu co sekarang krempeng????,1,0,1,0
Congore adalah masalahnya,1,1,0,0
mirip petrik,1,1,0,0
Brooooooooooo kok jd begini mukae,1,1,0,0
"Bukan flexing, NORAK. ????????????",1,0,1,0
sampah masyarakat wkwkw,1,0,0,1
Siapppppp si paling okb????,1,1,0,0
definisi sampah masyarakat beginian masa diposting????,1,0,0,1
Kamu juga kan,1,1,0,0
lumayan okb dan norak ????,1,0,1,0
Lesung pipi yg bikin org darah tinggi,1,1,0,0
hari hari ketemu gembel,1,0,0,1
gapapa gaes.. yg penting abg nya pede dulu punya otak atau engga belakangan,1,1,0,0
logo arsenal versi hijab,1,1,0,0
paling ga bisa soal GEMBROT,1,0,0,1
"Sok ""an lu??",1,1,0,0
kya liat pertujukan di kebon binatang,1,1,0,0
"gemukan kakaknya,,",1,1,0,0
aduuh jng tinggi2 apa klo ngomong..mksdnya apa si ngomongin ginian???perasaan BKN baru dya yg pergi kejepang..noraaakkk??????,1,1,0,0
eh kocak mending lu pulang dcariin mak noh,1,1,0,0
Lebayyyyyy dasarrr alay,1,0,0,1
Lhaa kaann saya adalah jalan yang rendah dari waktu jahat saya banyak dan mengatakan tidak ada yang tahu cinta keberuntungan,1,1,0,0
yang satu mirip arsenal satu lagi adudu.. ragam kali yak??,1,1,0,0
yg begini udh cocok jd tumbal proyek ??,1,1,0,0
Mirip falak,1,1,0,0
Riya Bgt Dihh,1,1,0,0
Terlalu lebih kelebihan itu pemalu ??,1,1,0,0
Kayyak Opet,1,1,0,0
kocak induk bengkok,1,1,0,0
definisi pikmi di dunia nyata,1,1,0,0
Saya mencoba melupakan hal itu tetapi akhirnya itu membuat saya sedih sehingga Tuhan akan kehilangan kekecewaan,1,1,0,0
Outfitnya mengapa ....... wkwwkwkwk,1,1,0,0
makannya segentong buset,1,1,0,0
Aku tak tahu kenapa bila time gaduh je english aku automatic power Aku rasa time exam nanti kena gaduh dulu before jawab,1,0,0,1
apasih bego,1,0,0,1
mon maap sejak kapan bright bibirny maju,1,1,0,0
ih idungnya kaya tapir ??????,1,1,0,0
@FANS JENNIE KIM: lucu sekali beruang inj,1,1,0,0
mbak mbakkk dasar drama,1,0,1,0
Tls followan ama aku yukk rep rt kita temenan,1,1,0,0
setiap liat mukanya saya esmosi kenapa ya heran,1,1,0,0
Masih bocor sudah digunakan di sana -sini,1,1,0,0
Ajig bahkan diracuni,1,0,0,1
pantesan orang indo iqnya rendah2 kelakuannya bgini... langsung terbukti,1,1,0,0
kotak banget TUH muka,1,1,0,0
Ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana,1,1,0,0
Izinkan aku mengupload ini,1,1,0,0
BGT LU,1,1,0,0
Mandi kamar mandi,1,1,0,0
@tasyiiathasyia lawakk,1,1,0,0
bang otak lu segede sendok nyam nyam ya?,1,1,0,0
Jadi Valak??,1,1,0,0
Aku beria sekalipun bukannya kau nak appreciate,1,1,0,0
Ini yang buat aku semakin yakin Indonesia akan damai jika di pimpin beliau,1,1,0,0
Dia hidup di dunia imajiner ya,1,1,0,0
manyun nya jgn sembarangan mas,1,1,0,0
cakep kok guys.. tp boong,1,1,0,0
Inilah yang ingin saya coba,1,1,0,0
Antikristus,1,1,0,0
ohkaka kurusin sdikit pasti pas,1,1,0,0
Biasanya wanita itu harus menjaga malaikat wajah dan kadang -kadang temperamen iblis yang tidak pernah saya hindari,1,0,1,0
Muka Lu Gapantes Naek Mobil Bang ??,1,1,0,0
senyum logo arsenal wk,1,1,0,0
cewe caper berhayal disapa sama kaum halo dek,1,1,0,0
senyuma lu mirip logo Arsenal,1,1,0,0
@panpan: paling g bisa kalo soal musang,1,1,0,0
"Hands Ko Buntung ,, Hey Maid",1,1,0,0
kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati,1,0,1,0
Logo Mirip Dakar,1,1,0,0
"bg gosah sok tau bikin vt bwt seru""an aj sok serius amat",1,1,0,0
MINIMAL cuci muka lah blog! bikin sakit mata liatnya,1,1,0,0
Sahabat selalu dikenal karena saya bahkan tidak bisa menceritakan kisah bahwa saya sedih mengirim lagu ini,1,1,0,0
bikin ngakak liat model behelnya,1,1,0,0
Aku dulu lahir di Jogja Jogja dijuluki kota berhati nyaman Pantes aja aku langsung pake hati kalo udah nyaman dikit,1,1,0,0
merinding wir,1,1,0,0
kirain org prindapan,1,1,0,0
eh tompelny 3d kocak juga WKWK,1,1,0,0
phobia bayu,1,1,0,0
sama sama buzz,1,1,0,0
si BUNTUNG bwa motor ??,1,1,0,0
gak cocok lu joget mirip kurcaci cabang bojong kulur,1,1,0,0
bayu menolak mandi,1,1,0,0
ampunn minimal disikat tuh daki ?? gua beliin sabun dah sini dm alamatna,1,1,0,0
Pasamgan paling ngeselin,1,1,0,0
mulutnya minta di cabein,1,1,0,0
Iyaiya Buzzzz,1,1,0,0
Ketombe kok di muka,1,1,0,0
gaya nya selangit tp rumahnya jelek,1,0,1,0
kok mukanya aneh?,1,1,0,0
gblk matanya juling jlk BAT ANJ,1,0,0,1
bayu menolak sadar,1,1,0,0
kamu anjing mengatakan org,1,0,0,1
paling gabisa soal jentik nyamuk,1,1,0,0
@udaraTerbuka: mon maap sejak kapan bright bibirny maju,1,1,0,0
jan dekat2 bang geli,1,1,0,0
dua tiga tutup botol.. gajelas lu kontol,1,0,1,0
@Tokyo_: kibinyikin bicit,1,1,0,0
Bangke mengkumpulkan kembali kocakkkkk palsu,1,0,0,1
Info merusak ketakutan,1,1,0,0
eh babi terlambat,1,0,0,1
Kibinyikin Bicit,1,1,0,0
Diet Dong Tasyi,1,1,0,0
ga usah senyum bang jadi mules liatnya,1,1,0,0
apasi goblok ngomong yg jelas dek,1,0,1,0
kejelekan maszeh,1,0,1,0
Aku nk walk in ajelah senang,1,1,0,0
prihatin lihat badan nya pasti setreslihat koemntar,1,1,0,0
wkwkw idungnya ngeselin bgt ya,1,1,0,0
itu bibir keceduk apa,1,1,0,0
Bersyukurlah sampai Anda lupa kurangnya,1,1,0,0
busett itu dagu panjang bener wkwkw,1,0,1,0
si anj bpcah tengil bat kont,1,0,0,1
idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe,1,1,0,0
bangga amat beli tas KW woi.. jangan2 bajunya juga LG harus di cek ini,1,1,0,0
bikin malu,1,1,0,0
gw kelangkaan senyumnya njir??,1,1,0,0
eh lu klw mw ngebuli minimal spek nabi dulu bos muka kayak spombob aja belagu KOCAK,1,1,0,0
Anjj Face Nya Kaya Mo ... ??,1,0,1,0
pikmi girl cabang klaten lewat nich,1,1,0,0
gue lagi makan anjir jadi kaga nafsu liat muka bayu,1,0,1,0
GIVE AWAY TIME Untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album Lov,1,1,0,0
didiemin malah jadi naga,1,1,0,0
"zar, gaada kepikiran mau pakai behel ??",1,1,0,0
dasar drama kontol,1,0,0,1
Dalam ekonomi ini anak laki -laki Anda delusional,1,1,0,0
buka masker langsung zonk,1,1,0,0
bayu terlihat tidak di urus,1,1,0,0
Akulah si princes gendut,1,0,0,1
"Pijat ini adalah yang paling lega dari pinggang saya, saya mendengar suara RM 60 Jeans A Hakim 60 12 terbaik",1,1,0,0
X de man benar -benar meminjam buku saya,1,1,0,0
Beli alat gym aja kak,1,1,0,0
Jan Deket2 Anj,1,0,0,1
aku sebut dia burik dan pemberani,1,0,0,1
eh kk kurusann jadikyak triplek??,1,1,0,0
Kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhir ebesar itu harapannya kepadamu Jangan mengecew,1,1,0,0
orang kyk gini cocoknya dikurbanin aja guys,1,1,0,0
Saya juga memiliki kue 2x untuk hasil gratis,1,1,0,0
otak lu udh dijual di rm padang ya?,1,1,0,0
Gipewei lagi sedih nih aku seokjin Rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp,1,1,0,0
perawatan kek geli liatnya,1,1,0,0
ngeliat mukanya aja udah gedeg,1,1,0,0
itu MUKA ap aspal?? dekil amat ??,1,0,1,0
Perilaku lu di luar pria sehat sehat,1,1,0,0
Sakit untuk menjadi,1,1,0,0
bang stop ngaca kita tau muka abang kotak kok,1,1,0,0
Bendera merah bgt si tasii ih :(,1,1,0,0
Boroknya segede gaban. ??,1,1,0,0
semangad apa yg di katakan hatters itu BENAR,1,1,0,0
Nungs Bacot Ready,1,0,0,1
life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu,1,1,0,0
mba nya gapapa kah...? jangan2 otewe operasi tompel??,1,1,0,0
tompelmuu mengalihkan pandanganku tsayy kaget begete,1,1,0,0
Therapo,1,1,0,0
ga bisa kalo soal curut,1,1,0,0
Bro imak video ini Ribka Tjiptaning penulis buku Aku Bangga Jadi Anak PKI Dia setuju PKI harus tetap ada yang pasti d,1,0,1,0
malah couspley jadi valak,1,1,0,0
yg namanya ica emang wallahu alam semua deh(:,1,1,0,0
buset itu ketombe banyak bet,1,1,0,0
cuci muka deh setidaknya kalo mau hikin VT,1,1,0,0
Tiap salam buat suami aku exo di korea paaak,1,1,0,0
Masi School Well Widows,1,1,0,0
malu ga si bang @Ibnu Wardani si paling tau jepang ?????????? baru mau kejepang udah bikin malu wkwkwkwkw,1,1,0,0
"PD bisa, tapi jangan berlebihan",1,1,0,0
Pondok,1,1,0,0
"Rambutnya sangat rambut, janda? ??",1,1,0,0
Kentut Poh Kah?,1,1,0,0
Eh diem lui tidak melakukannya USA iKt ikuti woo,1,1,0,0
anak kmpng,1,1,0,0
Batuk tidak ada lagi TU,1,1,0,0
Bang telah malu dengan lingkungan itu,1,1,0,0
"Diam, Anda sendirian di Kok",1,1,0,0
"Ya, Dongta Donghae, I Sings I Knump",1,1,0,0
Tubuhnya bulat,1,1,0,0
"logo bukan sembarang logo, mantap meriam london",1,1,0,0
kek plesteran dpn rmh gua,1,1,0,0
Jangan dekat dengan aku Aku tengah susah Nanti aku senang aku panggil,1,1,0,0
Seperti tapir wkwkwkww,1,1,0,0
cocok di gebukin warga,1,0,0,1
buset suaranya kek knalpot rusak bjir ????,1,1,0,0
minimal cuci muka,1,1,0,0
baru nakal jd norak ni org,1,0,1,0
norak,1,0,1,0
@apaya: ratu kesalahan,1,1,0,0
Sangat kejam sebagai mantra 7,1,0,0,1
GIVEAWAY FOREPTEMBER BOYS' BDAY RULES Follow aku love video project ini Reply mau hadiah nomer brp Ucapi,1,1,0,0
@lotuye: repot bat banana boat,1,1,0,0
aduh mba mending benerin tuh plafon lu udh rembes,1,1,0,0
gabisa klo soal leak,1,1,0,0
Ngeless Teroooo,1,1,0,0
Saya pikir ini adalah viviana ketika saya berbicara tentang konten saya tidak pernah berpikir y komunitas ki,1,1,0,0
merinding liat mukanyaaaa,1,1,0,0
Mon maap jigong nya Ampe sini baunya??,1,0,1,0
Tolong biarkan saya tertawa terbahak -bahak,1,1,0,0
Benerin Dulu tu muka lu Anj Kesel gua,1,0,1,0
gaya nya sosialita uang nya gada lol,1,1,0,0
bedehhh damage nya ga ada,1,1,0,0
"menendang tua """,1,1,0,0
Tasyi ternyata redflag juga ya,1,1,0,0
paling gabisa kalau soal ac rusak??,1,1,0,0
badan nya mirip sapi,1,1,0,0
daki nya.. maaf2 nih pen muntah??,1,1,0,0
Setelah menonton film Recall Time bekerja magang dengan kontraktor sebagai kuantitas,1,1,0,0
CIE Pilih aku kaka nya,1,1,0,0
begah ga ta bawa badan?sini tak bantu,1,1,0,0
ursulan yang satu ini emang beda,1,1,0,0
@Nabilatisyaa: Kibinyikin Bicit,1,1,0,0
buset tangannya cacat bjir,1,0,0,1
udah tahun 2023 tuh muka blom diberesin juga,1,1,0,0
Pukulin Rame2,1,0,0,1
pls lah minimal mikir jadi orang,1,1,0,0
Gabisa kalo soal cabe cabean??,1,1,0,0
mas nya blm mandi setahun kah,1,1,0,0
"BARU BUKA UDAH ADA MUKA DIA, GAJADI DAH UNMOOD",1,1,0,0
pling ga bs klo soal kambing,1,1,0,0
mandi bang,1,1,0,0
Lu kayanya ga pernah mandi yaa itu ketombe banyak bet,1,1,0,0
wkwkw udik bgt ya dia,1,0,0,1
Kisahnya seperti mamat ini hari ini yang saya lihat masuk dan keluar dari hari itu tetapi hari ini saya melihat wajahnya yang asam,1,1,0,0
aduduuuuuuuhh mas mirip kartun aduduu,1,1,0,0
Makanya tadi aku kaget lihat teman kabar nya udah menikah Dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya,1,1,0,0
buli dong masak ngak??,1,1,0,0
@Milan X6 Absen 1: paling ga bisa klo soal babi,1,0,1,0
mandi dulu gak si sebeluk but vidio,1,1,0,0
tekstur muka nya kek tembok nya ga si?? eh maap,1,1,0,0
setan ajaga se buriq mas nya sepertinya..........,1,0,1,0
mirip isis,1,1,0,0
maluuuuuu2IN ih kemaren aja sombong sok kaya??????,1,1,0,0
Tempat sampah aneh ini adalah keajaiban seseorang,1,0,1,0
Jangan lupa mandi,1,1,0,0
mandi bang ketombe dah banyak itu,1,1,0,0
karena aku kepo 11 13 20,1,1,0,0
kucingnya mirip monyet..,1,0,0,1
koreng kok di muka,1,0,0,1
Jika Anda membuat banyak manyun mas mas nyun,1,1,0,0
Kucin datang di bawah meja meminta makanan Anda untuk apa tidak ada skeptis.,1,1,0,0
bayu rada rada,1,1,0,0
bjir jalannya kek hewan ??,1,1,0,0
mirip babi sih bener awkowwokwowkokwo,1,0,0,1
"gaada mirip mirip nya, mirip popo iya",1,1,0,0
keti na dibersihjn kak sbeelom joget??,1,1,0,0
uda mirip logo persita,1,1,0,0
@Ariigatoo: Mandi minimal !!!,1,1,0,0
paling gabisa kl soal badak bercula 1,1,1,0,0
kerjaaa kont,1,1,0,0
prestasi pas ????,1,1,0,0
Dihh Keren Lo ?? Jijay Banjay,1,0,0,1
Krik bertaruh Bang Sumoah,1,1,0,0
geli bang buset dah,1,1,0,0
jadi pelayan aja gaya lu selangit bang,1,1,0,0
paling gak bisa kalau soal musang,1,1,0,0
cantik tapi bertompel kek nenek gua wkwk,1,1,0,0
maap nih mb pcarnya kok mau sm yang gendats,1,1,0,0
narsis bgt haha geli dikit??????,1,1,0,0
gw jadi pacar mba nya malu sih jalan sama modelan begini,1,1,0,0
aduh ga bisa bgt liat gaya nya.. norak,1,0,1,0
Taburkan org daun aj,1,1,0,0
@teletabies: PickMe,1,1,0,0
